name,method,params,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
20240827_102448_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20240823_140538_deepclr_tf_00-10, model_file=/deepclr/models/20240823_140538_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20240823_140538_deepclr_tf_00-10/weights.tar",9.102992749487864,5.028909806152654,28.027544360282626,0.03012374742998135,0.0250612730620863,0.20004271142072444,0.03386014219598088,0.024914109812313567,0.19689026717594055,0.00016624057932814249,0.000249648844280608,0.0019689026717594057,0.00016624057932814249,0.000249648844280608,0.0019689026717594057
20241002_174235_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20240828_085400_deepclr_tf_00-10, model_file=/deepclr/models/20240828_085400_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20240828_085400_deepclr_tf_00-10/weights.tar",4.126137984408828,2.678127563741631,16.426328711362057,0.013753164417045147,0.012696678827339054,0.13756950909337115,0.02020046900972801,0.013624352241870169,0.12196195471333948,9.807768296876791e-05,0.00013888759430226373,0.0012196195471333947,9.807768296876791e-05,0.00013888759430226373,0.0012196195471333947
20241126_171633_kitti_07-10_GICP,GICP,"max_distance=1.0, neighbor_radius=1.0, max_nn=30",1.6432371627161189,0.8358981876408078,14.551289910403275,0.00567558781032448,0.00571610431278181,0.14551289910403276,0.006656620409366301,0.0025969908223321086,0.020980915230086015,2.9438353804728606e-05,3.242553709099278e-05,0.00020980915230086014,2.9438353804728606e-05,3.242553709099278e-05,0.00020980915230086014
20250421_133123_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20250418_164642_deepclr_tf_00-10, model_file=/deepclr/models/20250418_164642_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20250418_164642_deepclr_tf_00-10/weights_408000.tar",3.1589427169763282,2.123181872887249,14.150663245745665,0.010475256533035932,0.010179464304031062,0.13674370134665642,0.014962739279891986,0.010538424981599665,0.09602075420976881,7.531030713395136e-05,0.00011403073343155294,0.0009602075420976882,7.531030713395136e-05,0.00011403073343155294,0.0009602075420976882
20250507_102359_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20250418_164642_deepclr_tf_00-10, model_file=/deepclr/models/20250418_164642_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20250418_164642_deepclr_tf_00-10/weights_408000.tar",3.1589427169763282,2.123181872887249,14.150663245745665,0.010475256533035932,0.010179464304031062,0.13674370134665642,0.014962739279891986,0.010538424981599665,0.09602075420976881,7.531030713395136e-05,0.00011403073343155294,0.0009602075420976882,7.531030713395136e-05,0.00011403073343155294,0.0009602075420976882
20250507_103749_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20250430_113002_deepclr_tf_00-10, model_file=/deepclr/models/20250430_113002_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20250430_113002_deepclr_tf_00-10/weights.tar",7.024568087125614,4.283778986356421,22.728878192208153,0.022496909752469645,0.017242261119100138,0.1532253071858687,0.03481981652989985,0.018794090338591113,0.13527243517062784,0.0001587151499138928,0.00019594417991253532,0.0013527243517062783,0.0001587151499138928,0.00019594417991253532,0.0013527243517062783
20250507_105023_kitti_07-10_DEEPCLRTF,DEEPCLRTF,"model_name=20250425_153505_deepclr_tf_00-10, model_file=/deepclr/models/20250425_153505_deepclr_tf_00-10/model_config.yaml, weights_file=/deepclr/models/20250425_153505_deepclr_tf_00-10/weights.tar",3.5177284667479705,2.2482625739417146,14.34267654597984,0.011713659552909863,0.010733483039352676,0.13389396185983765,0.016837035694905824,0.010654942074751443,0.11658186925934882,8.1973410049061e-05,0.00011720461144251585,0.0011658186925934883,8.1973410049061e-05,0.00011720461144251585,0.0011658186925934883
