name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.013075968657676679,0.006987299273344583,0.05984965288294463,0.007449854950941447,0.004028443743627116,0.03455230889104553,0.1535749007617512,0.12550040256816464,0.745890713870493,0.08954881565991914,0.07183226418256419,0.4308211420121492,0.05483745686569767,0.04398801786769646,0.263810212297154,59.32645101720637,16.173247257698858,592.9168090820312
08,0.02345121533901845,0.02819665160573369,0.2265454604698349,0.013456308006838972,0.016262630749802977,0.1277429949389904,0.18027407256261452,0.13339193456818782,1.1450344875247764,0.10468024624830595,0.0766355116176377,0.6611661869893235,0.06410320028889253,0.04692948091233686,0.4048645737958703,59.95960562891105,1.4872089948279053,100.80643463134766
09,0.014941205893596736,0.00852262104809968,0.060969372934758036,0.008492425190880979,0.0048920341226795575,0.03532254426252362,0.16582428121318182,0.10968723295845632,0.7767041328893681,0.09629885269466722,0.06301672699978257,0.4484815281303424,0.05897052549631666,0.03858918960207829,0.2746216629086818,60.74083300656493,1.5148665103145393,104.25791931152344
10,0.01609159914758355,0.012102112365990417,0.11402513656129577,0.009093352704692002,0.006996255302738952,0.06554044778941981,0.21407369266790474,0.16759127725997428,1.5070784025752195,0.12417669944489254,0.09636070131207196,0.8701533005343557,0.07604170058117782,0.05900781103982845,0.5328410515390947,61.24320386568705,1.4941755560039378,101.94080352783203
TOTAL,0.0192080965202473,0.021664553468279068,0.2265454604698349,0.010977009212688614,0.012500361415453045,0.1277429949389904,0.1787935809671121,0.13498933393256476,1.5070784025752195,0.10385421037373219,0.07753241686796912,0.8701533005343557,0.06359728693022824,0.0474784399620853,0.5328410515390947,60.221665847720814,6.199195649483258,592.9168090820312
