name,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
07,2.64378240480766,1.1382244116097282,5.280404114328323,0.012622380559031258,0.0086788490843434,0.05248832701527322,0.019798169212902453,0.007162973325908585,0.05142470558550581,0.00011298252290660904,0.00010089178953279677,0.0005142470558550581,0.00011298252290660904,0.00010089178953279677,0.0005142470558550581
08,3.097434375975924,1.8057168190276722,13.389396185983765,0.009454210870376697,0.008123616620717741,0.13389396185983765,0.014803180576810857,0.007487530525901731,0.06178019662677112,6.424359119127882e-05,8.523852047895094e-05,0.0006178019662677112,6.424359119127882e-05,8.523852047895094e-05,0.0006178019662677112
09,3.6029226604181974,1.874058414887262,10.227390661329311,0.011632364564806963,0.010156296825216127,0.08112061946183866,0.016380204692315558,0.012469702237429773,0.07613520205786051,8.706246043900017e-05,0.0001369809241807272,0.0007613520205786051,8.706246043900017e-05,0.0001369809241807272,0.0007613520205786051
10,6.486935668128939,3.355659229307627,14.34267654597984,0.024958584517625157,0.016085969151043395,0.08394692653264205,0.028087465053693948,0.016115182989668,0.11658186925934882,0.00015776819754375254,0.00019146855202150574,0.0011658186925934883,0.00015776819754375254,0.00019146855202150574,0.0011658186925934883
TOTAL,3.5177284667479705,2.2482625739417146,14.34267654597984,0.011713659552909863,0.010733483039352676,0.13389396185983765,0.016837035694905824,0.010654942074751443,0.11658186925934882,8.1973410049061e-05,0.00011720461144251585,0.0011658186925934883,8.1973410049061e-05,0.00011720461144251585,0.0011658186925934883
