name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.01297589889325988,0.00697260998542256,0.0566839134857692,0.007376982131909193,0.004030137575283483,0.032724958924583394,0.15413342144254713,0.1239480865316346,0.7448740579601042,0.08977864923769589,0.07104579363516184,0.43024218896025446,0.05497815946278783,0.04350626504039541,0.26347783749650167,58.01589147394354,25.011052338281687,885.9091796875
08,0.02416230408154653,0.02825925012910291,0.2333959215446701,0.013863798021599653,0.0162946798015313,0.13185250760664466,0.1806937448533905,0.13345275505942594,1.1387679136430466,0.1049082984498942,0.07668916809357672,0.657533095240434,0.06424292265406997,0.046962010514422094,0.40264931980855057,58.5476456278958,1.524720570606031,99.2221450805664
09,0.015826611514170984,0.008807071696964125,0.07040661997403207,0.009042209294454904,0.005049427715100914,0.04073937751035467,0.16429720573337583,0.10719794822538835,0.7814168390942527,0.0954087939429275,0.06159324387896635,0.4512657813483175,0.058425304993641264,0.03771751570222252,0.2762877240231531,59.412433940959424,1.5570991983870148,103.58303833007812
10,0.0164002405334224,0.012689103838165839,0.11330127981947702,0.009259279054696345,0.007336894808666421,0.06491450586850776,0.21344303856356525,0.16530148005768555,1.4917506688081006,0.12376218098997757,0.09510012188052246,0.861313019639879,0.07578802070466804,0.058236216434135894,0.5274225096986342,59.75838275909424,1.4785694838600512,100.45574188232422
TOTAL,0.019781239615844097,0.021814402076834306,0.2333959215446701,0.011310123861410755,0.012583579004897854,0.13185250760664466,0.17868523976538278,0.13398785766810423,1.4917506688081006,0.10376229753891493,0.07699206235963515,0.861313019639879,0.06354102140661089,0.04714744088611104,0.5274225096986342,58.82942557838095,9.422225000407023,885.9091796875
