name,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
07,6.3730344137157875,3.68731415212838,15.891178779256569,0.028575538957257753,0.0206367857940647,0.13756950909337115,0.0452235170836928,0.01674658128096515,0.12196195471333948,0.0002513672062493765,0.00021700922473306736,0.0012196195471333947,0.0002513672062493765,0.00021700922473306736,0.0012196195471333947
08,3.108162454418213,1.6399926364301733,13.356818458751862,0.0097920749393179,0.009223044485982277,0.13356818458751862,0.015373592310605847,0.00930281482149804,0.06986945696932131,7.075904368654809e-05,0.00010292357550720506,0.0006986945696932131,7.075904368654809e-05,0.00010292357550720506,0.0006986945696932131
09,5.101305894385056,2.5084661777669077,16.426328711362057,0.015661159417049417,0.01015932348637457,0.08069355986168619,0.022339070257499573,0.009948343109359159,0.0709559443683775,0.00010071716966444129,0.00012607734965423885,0.000709559443683775,0.00010071716966444129,0.00012607734965423885,0.000709559443683775
10,6.749172768926227,3.633474069028961,14.619989716886565,0.023701424679103907,0.014492162710535769,0.07916130001234274,0.027952447285199206,0.016182066366554927,0.11405315273225371,0.0001535214872068634,0.00019068073780700571,0.0011405315273225372,0.0001535214872068634,0.00019068073780700571,0.0011405315273225372
TOTAL,4.126137984408828,2.678127563741631,16.426328711362057,0.013753164417045147,0.012696678827339054,0.13756950909337115,0.02020046900972801,0.013624352241870169,0.12196195471333948,9.807768296876791e-05,0.00013888759430226373,0.0012196195471333947,9.807768296876791e-05,0.00013888759430226373,0.0012196195471333947
