name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.023647228571352652,0.016354146728379204,0.1242032290546767,0.013575909006832186,0.009467109337016787,0.07165430429615512,0.17713646607417943,0.14131793614769034,0.9187107345492053,0.10295948048633378,0.08113302847849072,0.5305284113878963,0.06304967270795847,0.04968291970422492,0.3248520696843618,48.3752351101962,16.045600205957268,578.456298828125
08,0.030701071559817238,0.029303951394297405,0.21999614910411483,0.017662271140683937,0.01690758622150073,0.12377459692861513,0.19122924619027867,0.13349255667194554,1.1555972304108608,0.11091922894486349,0.07676794990933491,0.6670941123810452,0.06792407416718096,0.0470114063744048,0.40859854018118513,48.743464027048624,1.3678775811113004,89.4202880859375
09,0.022379229673571362,0.013225308428341461,0.14111916672914135,0.01282248886767513,0.0076539295197012485,0.08150527959987901,0.17412258294041108,0.10461436235029692,0.7866578826794439,0.10100621365725541,0.06016879428195183,0.4542922403788923,0.06185321711971921,0.03684519429836815,0.2781379684526168,49.34639482798067,1.3953348304353816,92.62489318847656
10,0.02594394895227283,0.017312116752159663,0.11249550460267396,0.0148345585624099,0.010051690376861424,0.06502298029296733,0.2215874250091671,0.1606039271707727,1.48478350960243,0.12838191546614167,0.09246902761857703,0.8572700089836045,0.07861699119596388,0.05662416831403227,0.5249595323898609,49.87003920237223,1.4114292460958713,90.18418884277344
TOTAL,0.027346862638272608,0.02385414801779013,0.21999614910411483,0.01570454409856713,0.01377836920088047,0.12377459692861513,0.19044132682943293,0.13479681079649775,1.48478350960243,0.11047171716268438,0.07751947893413291,0.8572700089836045,0.0676498274490818,0.047470777473990186,0.5249595323898609,48.98284824505523,6.119650658872634,578.456298828125
