name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.011536473363546625,0.007050409341088787,0.05079192457309239,0.006647401971673567,0.004067873015769819,0.0293244996835713,0.03360545139506354,0.03236079575228311,0.29973075455517606,0.02195710483010532,0.01739027533007513,0.17357655866838043,0.013446161839515958,0.010649675214249392,0.10630449948379123,2433.0996309627185,572.8519248763039,4756.06369972229
08,0.023718051738241923,0.029589161115968873,0.24659330563865756,0.013681856691683316,0.0170878223964106,0.14246989450352107,0.0463928422433915,0.03961396463531999,0.5406501850476989,0.0287631045320187,0.021835620148686966,0.3124861434571338,0.017614179449963945,0.013371535851601717,0.19119705770968676,2918.497693978012,606.0669217735805,5786.053895950317
09,0.016465264803601123,0.01035803518015589,0.07501393925664991,0.009480767816892376,0.005979838643646487,0.04341640398149381,0.043688504383738155,0.02997066088323107,0.3652567623149391,0.02710394137426135,0.016332637263085245,0.21122346046987095,0.016598066425949427,0.010002293119461731,0.12932494420213728,3428.9724469934617,1018.4509172657007,7829.18906211853
10,0.014245310260296856,0.012299059335807999,0.12970319471351754,0.008196784333268039,0.0071096822046624935,0.07450580967323728,0.05231881860415983,0.04391287695898508,0.36624673475481495,0.03205506837069932,0.024311667103780448,0.21154909749199374,0.019630392962100743,0.014888687414936074,0.12953146177239533,2940.805070400238,885.4088149648127,8223.973274230957
TOTAL,0.019157881234249743,0.02285844391023612,0.24659330563865756,0.011043701122207605,0.013201789228557506,0.14246989450352107,0.04497891567340563,0.03800752458892389,0.5406501850476989,0.02798743713421441,0.020879445115734564,0.3124861434571338,0.017139181602588104,0.012786313295738925,0.19119705770968676,2956.7496838881143,801.0954592628442,8223.973274230957
