name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.026741277680540847,0.019480196425083165,0.13445938565847426,0.015427622173897678,0.011260790349574817,0.07780272977865291,0.15785040494988312,0.10717147317611388,0.7232380826842391,0.09178495140395124,0.06145883479860909,0.41760641472825766,0.056206876350495955,0.037636282683339656,0.255717469197491,48.49367516604337,16.328262705835396,587.9779663085938
08,0.03462340074458801,0.030996287795088326,0.29250141245195915,0.019990917836091363,0.01788831810053587,0.16870383721614643,0.18124001195597322,0.11713479594430304,1.086526140601046,0.10513583127631661,0.06735250403818217,0.6272480028279648,0.0643826778370015,0.04124425966878746,0.38417431248285744,49.0698177253292,1.4224195688796044,89.89289855957031
09,0.027936702828973304,0.019042736321699432,0.11969806833842427,0.01608678165113627,0.011020015036037169,0.06913741981717952,0.16315049926101563,0.09593367154916299,0.6990412309788614,0.09471661702758835,0.055109669337819925,0.40343078587091336,0.05800178015619365,0.033749084406584605,0.24716314559861302,50.00744036068706,1.5876062195237042,93.61577606201172
10,0.02990763579353755,0.021447659765131608,0.15463428977931093,0.017230387879280443,0.012394938700197904,0.08933433063107658,0.19603841398274252,0.14265903058558427,1.3199064692849045,0.1137513047272908,0.08198758796508318,0.7618284470008602,0.06965692085986962,0.05020710053446627,0.46667328868680813,50.3866003926595,1.4657173706911022,91.47404479980469
TOTAL,0.03148758378509808,0.026391386487065634,0.29250141245195915,0.018164305058369662,0.015241079757048736,0.16870383721614643,0.17662533727512417,0.1168834481017762,1.3199064692849045,0.10250845057607655,0.0671718743200396,0.7618284470008602,0.06277339174149912,0.04113423011609942,0.46667328868680813,49.37599892831927,6.252548537667811,587.9779663085938
