name,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
07,2.5446604876467593,0.9537304424662101,6.906390980231556,0.013791103416245249,0.011054820910062137,0.05779827864402632,0.02696828676105419,0.01405343531265981,0.06767990726394953,0.00017470597342447914,0.00016787928401077137,0.0006767990726394953,0.00017470597342447914,0.00016787928401077137,0.0006767990726394953
08,7.044147608286753,4.07338870844843,21.783661391733364,0.022092856174162394,0.017911920665190477,0.1532253071858687,0.035474060209588223,0.018031819397282964,0.13527243517062784,0.00015242557895354917,0.0001905048094424815,0.0013527243517062783,0.00015242557895354917,0.0001905048094424815,0.0013527243517062783
09,7.655126706898489,3.5143743444944766,18.442965158199236,0.021983820842046788,0.011871023874176547,0.09296897610017155,0.027463809856255187,0.01237390404092721,0.09749494082320438,0.00012336905007464773,0.00015528017481786067,0.0009749494082320438,0.00012336905007464773,0.00015528017481786067,0.0009749494082320438
10,8.66460765235427,6.007443697089023,22.728878192208153,0.03195355307261301,0.021314586089586324,0.12198876868061631,0.051405165364193504,0.024727047640716163,0.1312954772612501,0.00025889841651860756,0.0002730763160692276,0.001312954772612501,0.00025889841651860756,0.0002730763160692276,0.001312954772612501
TOTAL,7.024568087125614,4.283778986356421,22.728878192208153,0.022496909752469645,0.017242261119100138,0.1532253071858687,0.03481981652989985,0.018794090338591113,0.13527243517062784,0.0001587151499138928,0.00019594417991253532,0.0013527243517062783,0.0001587151499138928,0.00019594417991253532,0.0013527243517062783
