name,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
07,0.6258695813090756,0.2746546899201405,2.3850171229125547,0.0035668189988865384,0.003239764272188557,0.02385017122912555,0.0056634917155112,0.0028604568563407717,0.01681365139816029,3.630355335700171e-05,3.446824515517475e-05,0.00016813651398160287,3.630355335700171e-05,3.446824515517475e-05,0.00016813651398160287
08,1.7578790839368714,0.8731843047873127,14.551289910403275,0.005992288275204673,0.006706218437425644,0.14551289910403276,0.006943912372469619,0.0027102875115908257,0.020980915230086015,2.879196453080178e-05,3.3204345163703164e-05,0.00020980915230086014,2.879196453080178e-05,3.3204345163703164e-05,0.00020980915230086014
09,1.6723076341934575,0.597715596479892,3.407598263822077,0.005480684701744095,0.0036331273561568296,0.021773202187557628,0.006145644365714285,0.0022068594253747556,0.018447569751400945,2.706331422649169e-05,2.9139176429521383e-05,0.00018447569751400947,2.706331422649169e-05,2.9139176429521383e-05,0.00018447569751400947
10,1.5832550231401863,0.806890420879109,3.751664297779142,0.005598687990362963,0.0031203754143325287,0.018087087160688554,0.00664839746445479,0.0020670647378518894,0.015561274612697306,3.357049321299703e-05,3.166171143845755e-05,0.00015561274612697305,3.357049321299703e-05,3.166171143845755e-05,0.00015561274612697305
TOTAL,1.6432371627161189,0.8358981876408078,14.551289910403275,0.00567558781032448,0.00571610431278181,0.14551289910403276,0.006656620409366301,0.0025969908223321086,0.020980915230086015,2.9438353804728606e-05,3.242553709099278e-05,0.00020980915230086014,2.9438353804728606e-05,3.242553709099278e-05,0.00020980915230086014
