name,t_kitti_mean [%],t_kitti_std [%],t_kitti_max [%],t_rmse_mean [%],t_rmse_std [%],t_rmse_max [%],r_kitti_mean [deg/m],r_kitti_std [deg/m],r_kitti_max [deg/m],r_rmse_mean [deg/m],r_rmse_std [deg/m],r_rmse_max [deg/m],r_chordal_mean [deg/m],r_chordal_std [deg/m],r_chordal_max [deg/m]
07,7.309368663695492,3.941114830645156,20.00427114207244,0.03535974044878807,0.0284703056489809,0.20004271142072444,0.05150240401787499,0.029515873774207075,0.15905195887294846,0.00028554327556262483,0.0003011780219259758,0.0015905195887294845,0.00028554327556262483,0.0003011780219259758,0.0015905195887294845
08,9.14719822380695,4.878219690577328,28.027544360282626,0.028293298938916647,0.023908721296384026,0.1902508371557354,0.030728574597056954,0.02375049459170387,0.18689326685967583,0.0001426883710642311,0.0002323428383414261,0.0018689326685967585,0.0001426883710642311,0.0002323428383414261,0.0018689326685967585
09,7.985021656640207,4.311717015727349,23.84173495792122,0.027254949097219126,0.022932484933378676,0.17187891957401277,0.033702124044016825,0.02188029728041422,0.19689026717594055,0.00016281380157115558,0.00023375408631721035,0.0019689026717594057,0.00016281380157115558,0.00023375408631721035,0.0019689026717594057
10,12.368607281566838,6.275637650799185,26.36654150551006,0.04356674445840698,0.028631373619639976,0.1799214442394134,0.04111851298868374,0.02758932264411458,0.15819008254233938,0.00023459458844720567,0.00030262706490664123,0.001581900825423394,0.00023459458844720567,0.00030262706490664123,0.001581900825423394
TOTAL,9.102992749487864,5.028909806152654,28.027544360282626,0.03012374742998135,0.0250612730620863,0.20004271142072444,0.03386014219598088,0.024914109812313567,0.19689026717594055,0.00016624057932814249,0.000249648844280608,0.0019689026717594057,0.00016624057932814249,0.000249648844280608,0.0019689026717594057
