name,t_kitti_mean [m],t_kitti_std [m],t_kitti_max [m],t_rmse_mean [m],t_rmse_std [m],t_rmse_max [m],r_kitti_mean [deg],r_kitti_std [deg],r_kitti_max [deg],r_rmse_mean [deg],r_rmse_std [deg],r_rmse_max [deg],r_chordal_mean [deg],r_chordal_std [deg],r_chordal_max [deg],time_mean [ms],time_std [ms],time_max [ms]
07,0.0710348230422675,0.07058679487677084,0.5964744102774586,0.04100442522094396,0.040755495477026046,0.34437798960376237,0.22523066761519517,0.1619767268594379,1.2050666756897348,0.13056154680744908,0.09315434812364112,0.6958339862588008,0.07995187236369443,0.057041282145800294,0.4260709806319674,51.454630869085136,16.49257347152747,583.6202392578125
08,0.06623317620160647,0.0515143230137586,0.4875002750602184,0.038251572463813825,0.02971524234883157,0.281709919549625,0.24698725329645468,0.1660899718844504,1.6645947636212093,0.14299248078773616,0.09565561034776786,0.9609701333017052,0.08756437060449264,0.05857613510867767,0.5885128671726547,52.55516587147256,4.2269103413515845,96.16793823242188
09,0.060461609426613924,0.049879313838178625,0.3582449382792999,0.03485221998223844,0.028829371919323755,0.20684428344000866,0.23338604473551958,0.14273363071048772,1.6816550416205127,0.13510884390084937,0.08222782046374066,0.9708541610110469,0.08273620499367429,0.05035324038411075,0.5945413870439072,52.256795708038524,3.9042356811989403,97.03561401367188
10,0.0666130617049498,0.04978985215472478,0.3896512236838769,0.03838745324367307,0.028811904759754512,0.22503093745935804,0.2753034973595717,0.18550870629760385,1.5080122790190724,0.15934868721846915,0.10682174326200447,0.8707806151720292,0.09758008846159362,0.06541273671763645,0.533171188204157,52.51860944747925,3.6286244898652096,98.9007339477539
TOTAL,0.06580112632176992,0.05409034217909694,0.5964744102774586,0.03797345996669942,0.031232375030213238,0.34437798960376237,0.24553264613746825,0.16495158973407048,1.6816550416205127,0.14216565135160725,0.09498352834606481,0.9708541610110469,0.08705787940379438,0.05816392419351143,0.5945413870439072,52.33797180472906,7.203606917932271,583.6202392578125
